timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker
1586465080,17.578,-42.969,467.773,-12.695,0,0
1586465080,-26.855,-44.922,535.645,-10.742,0,0
1586465080,-20.996,-45.898,501.953,-3.906,0,0
1586465080,-3.906,-41.016,457.52,-10.742,0,0
1586465080,-22.461,-44.434,423.34,-19.531,0,0
1586465080,-50.293,-49.805,473.145,14.16,0,0
1586465080,-53.711,-44.434,410.645,19.043,0,0
1586465080,-18.555,-43.945,366.699,-14.648,0,0
1586465080,37.598,-41.504,463.867,-41.992,0,0
1586465080,23.926,-41.992,461.914,-38.574,0,0
1586465080,-73.73,-50.293,554.688,-6.348,0,0
1586465080,-51.758,-58.105,556.641,-17.09,0,0
1586465080,13.672,-53.711,475.098,-62.012,0,0
1586465080,-5.371,-41.992,431.641,-50.293,0,0
1586465080,-53.711,-28.809,532.715,-25.879,0,0
1586465080,-100.586,-24.902,635.254,-3.906,0,0
1586465080,-99.121,-31.25,537.109,-35.156,0,0
1586465080,-80.078,-42.969,453.613,-99.609,0,0
1586465080,-13.184,-35.156,471.191,-83.496,0,0
1586465080,-11.23,-23.926,572.754,-36.621,0,0
1586465080,-9.766,-28.809,608.398,-66.895,0,0
1586465080,19.043,-33.691,437.012,-118.164,0,0
1586465080,-85.938,-35.156,477.539,-58.594,0,0
1586465080,-189.453,-33.691,622.559,-15.137,0,0
1586465080,-142.578,-26.367,593.262,-50.293,0,0
1586465080,-42.969,-27.344,407.227,-84.961,0,0
1586465080,-28.809,-38.574,432.617,-97.656,0,0
1586465080,-45.898,-31.25,624.023,-52.734,0,0
1586465080,-92.773,-28.809,636.23,-43.945,0,0
1586465080,-95.215,-33.203,374.023,-113.281,0,0
1586465080,-18.555,-21.484,360.84,-141.602,0,0
1586465080,-58.105,-18.555,619.141,-94.238,0,0
1586465080,-147.949,-30.762,579.102,-77.148,0,0
1586465080,-124.023,-34.18,442.383,-117.676,0,0
1586465080,5.859,-29.297,420.41,-162.109,0,0
1586465080,12.695,-24.902,557.129,-157.715,0,0
1586465080,-165.527,-38.086,565.43,-88.867,0,0
1586465080,-226.562,-47.852,452.148,-78.125,0,0
1586465080,-98.633,-38.574,355.469,-138.184,0,0
1586465080,-61.523,-36.621,432.129,-163.574,0,0
1586465080,-88.379,-38.574,499.512,-128.906,0,0
1586465080,-82.52,-42.969,371.582,-122.07,0,0
1586465080,-24.414,-55.176,288.574,-172.363,0,0
